kernel,accuracy,precision_macro
linear,0.4568798449612403,0.44852210393940917
poly,0.45445736434108525,0.47185578212774537
rbf,0.49224806201550386,0.47809958458417573
sigmoid,0.25290697674418605,0.21723276374726064
